"Plot2"
"Time (sec)","Reaction Force1 (newton)"
11.7199999999999,8.44932286560129e-05
11.7599999999999,4.48833504266497e-05
11.7999999999999,5.16014535643021e-06
11.8399999999999,3.45760422911418e-05
11.8799999999999,7.42248354574496e-05
11.9199999999999,0.000113686077849913
11.9599999999999,0.000152860086945491
11.9999999999999,0.000191647905797372
12.0399999999999,0.000229951553008824
12.0799999999999,0.000267674270242692
12.1199999999999,0.000304720766641369
12.1599999999999,0.000340997459539759
12.1999999999999,0.000376412710863221
12.2399999999999,0.000410877058613296
12.2799999999999,0.000444303442856474
12.3199999999999,0.00047660742564515
12.3599999999999,0.000507707404315203
12.3999999999999,0.00053752481762141
12.4399999999999,0.000565984344189964
12.4799999999999,0.000593014092786813
12.5199999999999,0.000618545783921138
12.5599999999999,0.000642514922325296
12.5999999999999,0.000664860959875441
12.6399999999999,0.000685527448541356
12.6799999999999,0.000704462182979072
12.7199999999999,0.000721617332406087
12.7599999999999,0.00073694956142609
12.7999999999999,0.000750420139497922
12.8399999999999,0.000761995038772292
12.8799999999999,0.000771645020049068
12.9199999999999,0.000779345706638047
12.9599999999999,0.000785077645936574
12.9999999999999,0.00078882635856852
13.0399999999999,0.000790582374960435
13.0799999999999,0.000790341259262505
13.1199999999999,0.000788103620553917
13.1599999999999,0.000783875111304245
13.1999999999999,0.000777666413094837
13.2399999999999,0.000769493209636214
13.2799999999999,0.000759376147149643
13.3199999999999,0.000747340782213007
13.3599999999999,0.000733417517202663
13.3999999999999,0.000717641523494393
13.4399999999999,0.000700052652617478
13.4799999999999,0.000680695335586248
13.5199999999999,0.000659618470663512
13.5599999999999,0.000636875299839279
13.5999999999999,0.000612523274336885
13.6399999999999,0.000586623909486217
13.6799999999999,0.000559242629330633
13.7199999999999,0.000530448601360178
13.7599999999999,0.000500314561788476
13.7999999999999,0.00046891663181476
13.8399999999999,0.000436334125335102
13.8799999999999,0.000402649348588646
13.9199999999999,0.00036794739224488
13.9599999999999,0.000332315916457245
13.9999999999999,0.000295844929425963
14.0399999999999,0.000258626560029514
14.0799999999999,0.000220754825099105
14.1199999999999,0.000182325391923977
14.1599999999999,0.000143435336587548
14.1999999999999,0.00010418289874478
14.2399999999999,6.46672334603085e-05
14.2799999999999,2.49881607341218e-05
14.3199999999999,1.47540866524026e-05
14.3599999999999,5.44591163332236e-05
14.3999999999999,9.40266299574436e-05
14.4399999999999,0.000133356676551669
14.4799999999999,0.000172349905004824
14.5199999999999,0.000210907815037692
14.5599999999999,0.000248933006023172
14.5999999999999,0.000286329423028701
14.6399999999999,0.000323002599459369
14.6799999999999,0.000358859895688716
14.7199999999999,0.00039381073307449
14.7599999999999,0.000427766822768143
14.7999999999999,0.000460642388740121
14.8399999999999,0.000492354384457585
14.8799999999999,0.000522822702667126
14.9199999999999,0.000551970377752669
14.9599999999999,0.000579723780157274
14.9999999999999,0.000606012802377812
15.0399999999999,0.000630771036062579
15.0799999999999,0.000653935939764574
15.1199999999999,0.000675448996926607
15.1599999999999,0.000695255863699217
15.1999999999999,0.000713306506217933
15.2399999999999,0.000729555326993181
15.2799999999999,0.000743961280093475
15.3199999999998,0.000756487974831022
15.3599999999998,0.000767103767687749
15.3999999999998,0.000775781842249576
15.4399999999998,0.000782500276947009
15.4799999999998,0.000787242100430921
15.5199999999998,0.00078999533444366
15.5599999999998,0.000790753024077161
15.5999999999998,0.000789513255341653
15.6399999999998,0.000786279160000559
15.6799999999998,0.000781058907659388
15.7199999999998,0.000773865685128613
15.7599999999998,0.000764717663112629
15.7999999999998,0.000753637950308988
15.8399999999998,0.000740654535033818
15.8799999999998,0.000725800214520906
15.9199999999998,0.000709112512073046
15.9599999999998,0.000690633582274911
16,0.000670410104506836
